"State","BeerName","ABV","IBU","Style","BreweryName","lat","long"
"CO","Mexican Logger",0.042,18,"American Pale Lager","Ska Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale (2012)",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Ferus Fluxus Wild Belgian Pale Ale",0.075,30,"American Wild Ale","Upslope Brewing Company","39.7618","-104.881"
"CO","Stimulator Pale Ale",0.053,48,"American Pale Ale (APA)","Pateros Creek Brewing Company","39.7618","-104.881"
"CO","American India Red Ale",0.071,83,"American Strong Ale","Black Shirt Brewing Company","39.7618","-104.881"
"CO","Cache La Porter",0.05,24,"American Porter","Pateros Creek Brewing Company","39.7618","-104.881"
"CO","Colorado Native",0.055,26,"American Amber / Red Lager","AC Golden Brewing Company","39.7618","-104.881"
"CO","Fat Tire Amber Ale (2011)",0.052,18,"American Amber / Red Ale","New Belgium Brewing Company","39.7618","-104.881"
"CO","Belgorado",0.067,45,"Belgian IPA","Wynkoop Brewing Company","39.7618","-104.881"
"CO","Ranger IPA",0.065,70,"American IPA","New Belgium Brewing Company","39.7618","-104.881"
"CO","Hazed & Infused (2010)",0.049,35,"American Pale Ale (APA)","Boulder Beer Company","39.7618","-104.881"
"CO","Hazed & Infused",0.049,35,"American Pale Ale (APA)","Boulder Beer Company","39.7618","-104.881"
"CO","Peach Pale Ale",0.057,40,"American Pale Ale (APA)","Lone Tree Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","ESB Special Ale",0.057,58,"Extra Special / Strong Bitter (ESB)","Ska Brewing Company","39.7618","-104.881"
"CO","The Golden One",0.063,21,"American Pilsner","High Hops Brewery","39.7618","-104.881"
"CO","Upslope Imperial India Pale Ale",0.099,90,"American Double / Imperial IPA","Upslope Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale (2010)",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","G'KNIGHT (16 oz.)",0.087,85,"American Double / Imperial IPA","Oskar Blues Brewery","39.7618","-104.881"
"CO","South Ridge Amber Ale",0.06,31,"American Amber / Red Ale","Crystal Springs Brewing Company","39.7618","-104.881"
"CO","Pallavicini Pilsner (2009)",0.058,21,"Czech Pilsener","Pug Ryan's Brewery","39.7618","-104.881"
"CO","Peacemaker Pilsner",0.058,21,"Czech Pilsener","Pug Ryan's Brewery","39.7618","-104.881"
"CO","Hoopla Pale Ale",0.057,35,"American Pale Ale (APA)","Boulder Beer Company","39.7618","-104.881"
"CO","Crank Yanker IPA",0.078,74,"American IPA","Eddyline Brewery & Restaurant","39.7618","-104.881"
"CO","Gordon Beer (2006)",0.087,60,"American Double / Imperial IPA","Oskar Blues Brewery","39.7618","-104.881"
"CO","Colorado Native (2011)",0.055,26,"American Amber / Red Lager","AC Golden Brewing Company","39.7618","-104.881"
"CO","Crazy Mountain Amber Ale",0.052,25,"American Amber / Red Ale","Crazy Mountain Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale (10 Year Anniversary)",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Thai Style White IPA",0.065,33,"American White IPA","Upslope Brewing Company","39.7618","-104.881"
"CO","The Power of Zeus",0.07,68,"American Pale Ale (APA)","High Hops Brewery","39.7618","-104.881"
"CO","Old Chub (2003)",0.08,35,"Scottish Ale","Oskar Blues Brewery","39.7618","-104.881"
"CO","Hammer & Sickle",0.09,60,"Russian Imperial Stout","Renegade Brewing Company","39.7618","-104.881"
"CO","Ellie’s Brown Ale",0.055,17,"American Brown Ale","Avery Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale (2003)",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Parcae Belgian Style Pale Ale",0.05,20,"Belgian Pale Ale","Fate Brewing Company","39.7618","-104.881"
"CO","Over the Rail Pale Ale",0.057,68,"American Pale Ale (APA)","Pug Ryan's Brewery","39.7618","-104.881"
"CO","American Red Saison",0.078,34,"Saison / Farmhouse Ale","Black Shirt Brewing Company","39.7618","-104.881"
"CO","Shift (1)",0.05,29,"American Pale Lager","New Belgium Brewing Company","39.7618","-104.881"
"CO","Avery India Pale Ale",0.063,69,"American IPA","Avery Brewing Company","39.7618","-104.881"
"CO","Beaver Logger",0.052,19,"American Pale Lager","Gore Range Brewery","39.7618","-104.881"
"CO","Ten Fidy Imperial Stout (2008)",0.095,98,"Russian Imperial Stout","Oskar Blues Brewery","39.7618","-104.881"
"CO","Ten Fidy Imperial Stout (2007)",0.099,98,"Russian Imperial Stout","Oskar Blues Brewery","39.7618","-104.881"
"CO","Sanitas Black IPA",0.068,65,"American Black Ale","Sanitas Brewing Company","39.7618","-104.881"
"CO","Hoppy Boy",0.062,65,"American IPA","Twisted Pine Brewing Company","39.7618","-104.881"
"CO","Old Town Ale",0.045,22,"Kölsch","Pateros Creek Brewing Company","39.7618","-104.881"
"CO","Crabtree Oatmeal Stout",0.075,29,"Oatmeal Stout","Crabtree Brewing Company","39.7618","-104.881"
"CO","Gyptoberfest",0.056,26,"Märzen / Oktoberfest","Bonfire Brewing Company","39.7618","-104.881"
"CO","Modus Hoperandi",0.068,65,"American IPA","Ska Brewing Company","39.7618","-104.881"
"CO","Colorado Red Ale",0.066,44,"American Amber / Red Ale","Black Shirt Brewing Company","39.7618","-104.881"
"CO","Shift",0.05,29,"American Pale Lager","New Belgium Brewing Company","39.7618","-104.881"
"CO","Little Red Cap",0.063,43,"Altbier","Grimm Brothers Brewhouse","39.7618","-104.881"
"CO","Elevation Triple India Pale Ale",0.099,100,"American Double / Imperial IPA","Renegade Brewing Company","39.7618","-104.881"
"CO","Green Bullet Organic India Pale Ale",0.07,45,"American IPA","Asher Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Top Rope Mexican-style Craft Lager",0.048,15,"Vienna Lager","Upslope Brewing Company","39.7618","-104.881"
"CO","Firestarter India Pale Ale",0.066,72,"American IPA","Bonfire Brewing Company","39.7618","-104.881"
"CO","Dry Dock Hefeweizen",0.043,12,"Hefeweizen","Dry Dock Brewing Company","39.7618","-104.881"
"CO","Upslope Belgian Style Pale Ale",0.075,30,"Belgian Pale Ale","Upslope Brewing Company","39.7618","-104.881"
"CO","American Red Porter",0.071,45,"American Porter","Black Shirt Brewing Company","39.7618","-104.881"
"CO","Dead Eye Dunkel",0.06,15,"Munich Dunkel Lager","Pug Ryan's Brewery","39.7618","-104.881"
"CO","Wood Splitter Pilsner",0.048,30,"Czech Pilsener","Bonfire Brewing Company","39.7618","-104.881"
"CO","Dale's Pale Ale (2002)",0.065,65,"American Pale Ale (APA)","Oskar Blues Brewery","39.7618","-104.881"
"CO","Lava Lake Wit",0.052,15,"Witbier","Crazy Mountain Brewing Company","39.7618","-104.881"
"CO","Ryeteous Rye IPA (2012)",0.07,100,"American IPA","Renegade Brewing Company","39.7618","-104.881"
"CO","Pinner Throwback IPA",0.049,35,"American IPA","Oskar Blues Brewery","39.7618","-104.881"
"CO","Old Chub (2008)",0.08,35,"Scottish Ale","Oskar Blues Brewery","39.7618","-104.881"
"CO","Consilium",0.05,40,"American Pale Ale (APA)","Renegade Brewing Company","39.7618","-104.881"
"CO","Old Chub (2004)",0.08,35,"Scottish Ale","Oskar Blues Brewery","39.7618","-104.881"
"CO","5:00 O'Clock Afternoon Ale",0.05,25,"American Blonde Ale","Renegade Brewing Company","39.7618","-104.881"
"CO","Apricot Blonde",0.051,17,"Fruit / Vegetable Beer","Dry Dock Brewing Company","39.7618","-104.881"
"CO","Hop Abomination",0.066,100,"American IPA","Dry Dock Brewing Company","39.7618","-104.881"
"CO","Old Soul",0.075,25,"Belgian Strong Pale Ale","Crazy Mountain Brewing Company","39.7618","-104.881"
"CT","Half Full Bright Ale",0.052,18,"American Blonde Ale","Half Full Brewery","41.7627","-72.6743"
"CT","Watermelon Ale",0.051,11,"Fruit / Vegetable Beer","Thomas Hooker Brewing Company","41.7627","-72.6743"
"CT","Gandhi-Bot Double IPA (16 oz.) (2010)",0.088,85,"American Double / Imperial IPA","New England Brewing Company","41.7627","-72.6743"
"CT","Pursuit",0.07,40,"American IPA","Half Full Brewery","41.7627","-72.6743"
"CT","Gandhi-Bot Double IPA (12 oz.)",0.088,85,"American Double / Imperial IPA","New England Brewing Company","41.7627","-72.6743"
"CT","Weiss Trash Culture",0.034,6,"Berliner Weissbier","New England Brewing Company","41.7627","-72.6743"
"DC","The Corruption",0.065,80,"American IPA","DC Brau Brewing Company","38.895","-77.036"
"DC","The Tradition",0.05,15,"American Blonde Ale","DC Brau Brewing Company","38.895","-77.036"
"DC","On the Wings of Armageddon",0.092,115,"American Double / Imperial IPA","DC Brau Brewing Company","38.895","-77.036"
"DC","El Hefe Speaks",0.053,11,"Hefeweizen","DC Brau Brewing Company","38.895","-77.036"
"DE","Greenville Pale Ale",0.055,52,"American Pale Ale (APA)","Twin Lakes Brewing Company","39.1619","-75.5267"
"FL","Big Nose",0.073,50,"American IPA","Swamp Head Brewery","30.455","-84.2533"
"FL","People's Pale Ale",0.053,28,"American Pale Ale (APA)","Intuition Ale Works","30.455","-84.2533"
"FL","Maduro Brown Ale",0.055,25,"American Brown Ale","Cigar City Brewing Company","30.455","-84.2533"
"FL","Midnight Oil",0.05,38,"Oatmeal Stout","Swamp Head Brewery","30.455","-84.2533"
"FL","Florida Cracker Belgian Wit",0.05,18,"Witbier","Cigar City Brewing Company","30.455","-84.2533"
"FL","Pablo Beach Pale Ale",0.05,30,"American Pale Ale (APA)","Green Room Brewing","30.455","-84.2533"
"FL","Wild Night",0.059,18,"Cream Ale","Swamp Head Brewery","30.455","-84.2533"
"FL","Cotton Mouth",0.05,10,"Witbier","Swamp Head Brewery","30.455","-84.2533"
"FL","Hopped on the High Seas (Hop #529)",0.07,60,"American IPA","Cigar City Brewing Company","30.455","-84.2533"
"FL","Stump Knocker Pale Ale",0.056,35,"American Pale Ale (APA)","Swamp Head Brewery","30.455","-84.2533"
"FL","Jon Boat Coastal Ale",0.045,20,"American Blonde Ale","Intuition Ale Works","30.455","-84.2533"
"FL","Are Wheat There Yet?",0.055,28,"American Pale Wheat Ale","Brew Bus Brewing","30.455","-84.2533"
"FL","Hopped on the High Seas (Citra)",0.07,60,"American IPA","Cigar City Brewing Company","30.455","-84.2533"
"FL","I-10 IPA",0.068,55,"American IPA","Intuition Ale Works","30.455","-84.2533"
"FL","Shark Bait",0.053,11,"Fruit / Vegetable Beer","Miami Brewing Company","30.455","-84.2533"
"FL","Bimini Twist",0.07,82,"American IPA","3 Daughters Brewing","30.455","-84.2533"
"FL","Big Rod Coconut Ale",0.053,16,"American Blonde Ale","Miami Brewing Company","30.455","-84.2533"
"FL","Jai Alai IPA Aged on White Oak",0.075,70,"American IPA","Cigar City Brewing Company","30.455","-84.2533"
"FL","Tocobaga Red Ale",0.072,75,"American Amber / Red Ale","Cigar City Brewing Company","30.455","-84.2533"
"FL","Rollin Dirty Red Ale",0.05,21,"Irish Red Ale","Brew Bus Brewing","30.455","-84.2533"
"FL","Wavemaker",0.058,38,"American Amber / Red Ale","Big Storm Brewing Company","30.455","-84.2533"
"FL","Arcus IPA",0.069,81,"American IPA","Big Storm Brewing Company","30.455","-84.2533"
"FL","Old Elephant Foot IPA",0.07,80,"American IPA","Tampa Bay Brewing Company","30.455","-84.2533"
"FL","Humidor Series India Pale Ale",0.075,70,"American IPA","Cigar City Brewing Company","30.455","-84.2533"
"FL","Operation Homefront",0.062,65,"American IPA","Cigar City Brewing Company","30.455","-84.2533"
"FL","Wandering Pelican",0.082,65,"American Black Ale","Cigar City Brewing Company","30.455","-84.2533"
"FL","Cubano Espresso",0.055,25,"Bock","Cigar City Brewing Company","30.455","-84.2533"
"FL","Hopped on the High Seas (Calypso)",0.07,60,"American IPA","Cigar City Brewing Company","30.455","-84.2533"
"FL","Category 3 IPA",0.061,64,"American IPA","Due South Brewing Company","30.455","-84.2533"
"FL","Hopped on the High Seas (Ahtanum)",0.07,60,"American IPA","Cigar City Brewing Company","30.455","-84.2533"
"FL","Last Stop IPA",0.072,60,"American IPA","Brew Bus Brewing","30.455","-84.2533"
"FL","José Martí American Porter",0.08,65,"American Porter","Cigar City Brewing Company","30.455","-84.2533"
"FL","Jai Alai IPA",0.075,70,"American IPA","Cigar City Brewing Company","30.455","-84.2533"
"FL","Dry-Hopped On The High Seas Caribbean-Style IPA",0.07,60,"American IPA","Cigar City Brewing Company","30.455","-84.2533"
"FL","Miami Vice IPA",0.071,62,"American IPA","Miami Brewing Company","30.455","-84.2533"
"FL","Gator Tail Brown Ale",0.053,30,"American Brown Ale","Miami Brewing Company","30.455","-84.2533"
"FL","Maduro Brown Ale",0.055,25,"English Brown Ale","Cigar City Brewing Company","30.455","-84.2533"
"GA","Tybee Island Blonde",0.047,17,"American Blonde Ale","Coastal Empire Beer Company","33.755","-84.39"
"GA","Savannah Brown Ale",0.062,55,"American Brown Ale","Coastal Empire Beer Company","33.755","-84.39"
"GA","Take Two Pils",0.055,35,"German Pilsener","SweetWater Brewing Company","33.755","-84.39"
"GA","Watership Brown Ale",0.072,55,"American Brown Ale","Red Hare Brewing Company","33.755","-84.39"
"GA","Tropicalia",0.065,65,"American IPA","Creature Comforts","33.755","-84.39"
"GA","Gangway IPA",0.062,55,"American IPA","Red Hare Brewing Company","33.755","-84.39"
"GA","RecreationAle",0.047,42,"American Pale Ale (APA)","Terrapin Brewing Company","33.755","-84.39"
"HI","Tsunami IPA",0.072,75,"American IPA","Mehana Brewing Co.","21.3","-157.817"
"HI","CoCoNut Porter",0.057,30,"American Porter","Maui Brewing Company","21.3","-157.817"
"HI","Bikini Blonde Lager",0.045,18,"Munich Helles Lager","Maui Brewing Company","21.3","-157.817"
"HI","Mauna Kea Pale Ale",0.054,42,"American Pale Ale (APA)","Mehana Brewing Co.","21.3","-157.817"
"HI","Longboard Island Lager",0.046,18,"American Amber / Red Lager","Kona Brewing Company","21.3","-157.817"
"HI","Mana Wheat",0.055,15,"American Pale Wheat Ale","Maui Brewing Company","21.3","-157.817"
"HI","Sobrehumano Palena'ole",0.06,24,"American Amber / Red Ale","Maui Brewing Company","21.3","-157.817"
"HI","Lahaina Town Brown",0.051,20,"American Brown Ale","Maui Brewing Company","21.3","-157.817"
"HI","Humpback Blonde Ale",0.042,22,"American Blonde Ale","Mehana Brewing Co.","21.3","-157.817"
"HI","Big Swell IPA",0.062,65,"American IPA","Maui Brewing Company","21.3","-157.817"
"HI","Flyin' HI.P.Hay",0.068,68,"American IPA","Maui Brewing Company","21.3","-157.817"
"HI","Volcano Red Ale",0.052,23,"American Amber / Red Ale","Mehana Brewing Co.","21.3","-157.817"
"HI","Hawaiian Crow Porter",0.052,27,"American Porter","Mehana Brewing Co.","21.3","-157.817"
"HI","La Perouse White",0.05,12,"Witbier","Maui Brewing Company","21.3","-157.817"
"HI","Longboard Island Lager",0.046,18,"American Amber / Red Lager","Kona Brewing Company","21.3","-157.817"
"HI","Tsunami IPA",0.072,75,"American IPA","Mehana Brewing Co.","21.3","-157.817"
"HI","Longboard Island Lager",0.046,18,"American Amber / Red Lager","Kona Brewing Company","21.3","-157.817"
"HI","Longboard Island Lager",0.046,18,"American Amber / Red Lager","Kona Brewing Company","21.3","-157.817"
"IA","Owney Irish Style Red Ale",0.05,30,"Irish Red Ale","Great River Brewery","41.5908","-93.6208"
"IA","Dos Pistolas",0.048,20,"Vienna Lager","Great River Brewery","41.5908","-93.6208"
"IA","Boji Beach Golden Rye Ale",0.05,23,"Rye Beer","Okoboji Brewing Company","41.5908","-93.6208"
"IA","Hop A Potamus Double Dark Rye Pale Ale",0.09,99,"Rye Beer","Great River Brewery","41.5908","-93.6208"
"IA","Roller Dam Red Ale",0.054,30,"Irish Red Ale","Great River Brewery","41.5908","-93.6208"
"IA","Capital Gold Golden Lager",0.048,22,"German Pilsener","Confluence Brewing Company","41.5908","-93.6208"
"IA","Roller Dam Red Ale (2010)",0.054,30,"Irish Red Ale","Great River Brewery","41.5908","-93.6208"
"IA","483 Pale Ale",0.053,48,"American Pale Ale (APA)","Great River Brewery","41.5908","-93.6208"
"IA","483 Pale Ale (2010)",0.053,48,"American Pale Ale (APA)","Great River Brewery","41.5908","-93.6208"
"IA","Lewbricator Wheat Dopplebock",0.075,24,"Doppelbock","Kalona Brewing Company","41.5908","-93.6208"
"IA","Barrel Aged Farmer",0.07,22,"American Brown Ale","Great River Brewery","41.5908","-93.6208"
"IA","Boji Blue Pale Ale",0.05,45,"American Pale Ale (APA)","Okoboji Brewing Company","41.5908","-93.6208"
"IA","Des Moines IPA",0.068,75,"American IPA","Confluence Brewing Company","41.5908","-93.6208"
"IA","Widespread Wit",0.055,10,"Witbier","Great River Brewery","41.5908","-93.6208"
"IA","Farmer John's Multi-Grain Ale",0.056,21,"American Blonde Ale","Confluence Brewing Company","41.5908","-93.6208"
"IA","Winter Games Select #32 Stout",0.057,26,"American Stout","Okoboji Brewing Company","41.5908","-93.6208"
"IA","The Hole in Hadrian's Wall",0.095,19,"Scottish Ale","Okoboji Brewing Company","41.5908","-93.6208"
"IA","Big Cock IPA",0.07,70,"American IPA","Great River Brewery","41.5908","-93.6208"
"IA","Chickawawa Lemonale",0.05,5,"Fruit / Vegetable Beer","Great River Brewery","41.5908","-93.6208"
"IA","Redband Stout",0.06,36,"American Stout","Great River Brewery","41.5908","-93.6208"
"IA","40th Annual Bix Street Fest Copper Ale (Current)",0.048,25,"American Amber / Red Ale","Great River Brewery","41.5908","-93.6208"
"IA","Oktoberfest",0.059,25,"Märzen / Oktoberfest","Great River Brewery","41.5908","-93.6208"
"IA","Farmer Brown Ale",0.07,22,"American Brown Ale","Great River Brewery","41.5908","-93.6208"
"IA","Midwest Charm Farmhouse Ale",0.06,29,"Saison / Farmhouse Ale","Okoboji Brewing Company","41.5908","-93.6208"
"IA","33 Select Brown Ale",0.065,26,"American Brown Ale","Okoboji Brewing Company","41.5908","-93.6208"
"ID","Payette Pale Ale",0.048,35,"American Pale Ale (APA)","Payette Brewing Company","43.6167","-116.2"
"ID","Iron Butt Red Ale",0.058,39,"American Amber / Red Ale","Slanted Rock Brewing Company","43.6167","-116.2"
"ID","Woolybugger Wheat",0.046,12,"American Pale Wheat Ale","Sockeye Brewing Company","43.6167","-116.2"
"ID","Laughing Dog IPA",0.064,66,"American IPA","Laughing Dog Brewing Company","43.6167","-116.2"
"ID","Aviator Raspberry Blonde",0.049,25,"American Blonde Ale","Crooked Fence Brewing Company","43.6167","-116.2"
"ID","Old Devil's Tooth",0.099,100,"American Barleywine","Sockeye Brewing Company","43.6167","-116.2"
"ID","Outlaw IPA",0.062,65,"American IPA","Payette Brewing Company","43.6167","-116.2"
"ID","Mutton Buster",0.055,25,"American Brown Ale","Payette Brewing Company","43.6167","-116.2"
"ID","Hell-Diver Pale Ale",0.052,32,"American Pale Ale (APA)","Sockeye Brewing Company","43.6167","-116.2"
"ID","Dagger Falls IPA",0.063,100,"American IPA","Sockeye Brewing Company","43.6167","-116.2"
"ID","Dagger Falls IPA",0.063,100,"American IPA","Sockeye Brewing Company","43.6167","-116.2"
"ID","Rodeo Rye Pale Ale",0.042,35,"American Pale Ale (APA)","Payette Brewing Company","43.6167","-116.2"
"ID","Winterfest",0.084,90,"American Strong Ale","Sockeye Brewing Company","43.6167","-116.2"
"ID","Laughing Dog Cream Ale",0.05,12,"Cream Ale","Laughing Dog Brewing Company","43.6167","-116.2"
"ID","Two-One Niner",0.048,9,"American Pilsner","Laughing Dog Brewing Company","43.6167","-116.2"
"ID","Dagger Falls IPA",0.063,100,"American IPA","Sockeye Brewing Company","43.6167","-116.2"
"ID","Initial Point India Pale Ale",0.071,92,"American IPA","Slanted Rock Brewing Company","43.6167","-116.2"
"IL","Paddy Pale Ale",0.056,41,"American Pale Ale (APA)","Wild Onion Brewing Company","39.6983","-89.6197"
"IL","312 Urban Pale Ale",0.054,30,"American Pale Ale (APA)","Goose Island Brewing Company","39.6983","-89.6197"
"IL","Oktoberfest Revolution",0.057,25,"Märzen / Oktoberfest","Revolution Brewing Company","39.6983","-89.6197"
"IL","Fascist Pig Ale",0.08,72,"American Amber / Red Ale","Finch's Beer Company","39.6983","-89.6197"
"IL","Daft Funk",0.043,8,"Berliner Weissbier","Mikerphone Brewing","39.6983","-89.6197"
"IL","Fist City",0.055,40,"American Pale Ale (APA)","Revolution Brewing Company","39.6983","-89.6197"
"IL","Wobble",0.063,69,"American IPA","Two Brothers Brewing Company","39.6983","-89.6197"
"IL","312 Urban Wheat Ale",0.042,18,"American Pale Wheat Ale","Goose Island Brewing Company","39.6983","-89.6197"
"IL","312 Urban Wheat Ale",0.042,18,"American Pale Wheat Ale","Goose Island Brewing Company","39.6983","-89.6197"
"IL","Wet Hot American Wheat Ale",0.05,22,"American Pale Wheat Ale","Finch's Beer Company","39.6983","-89.6197"
"IL","312 Urban Pale Ale",0.054,30,"American Pale Ale (APA)","Goose Island Brewing Company","39.6983","-89.6197"
"IL","Fistmas Ale",0.061,31,"Herbed / Spiced Beer","Revolution Brewing Company","39.6983","-89.6197"
"IL","Night Cat",0.058,43,"American Dark Wheat Ale","Two Brothers Brewing Company","39.6983","-89.6197"
"IL","Wild Onion Summer Wit",0.042,13,"Witbier","Wild Onion Brewing Company","39.6983","-89.6197"
"IL","Rosa Hibiscus Ale",0.058,15,"Herbed / Spiced Beer","Revolution Brewing Company","39.6983","-89.6197"
"IL","Dog Days Lager",0.051,17,"Dortmunder / Export Lager","Two Brothers Brewing Company","39.6983","-89.6197"
"IL","Sobek & Set",0.08,80,"American Black Ale","Finch's Beer Company","39.6983","-89.6197"
"IL","312 Urban Wheat Ale (2012)",0.042,20,"American Pale Wheat Ale","Goose Island Brewing Company","39.6983","-89.6197"
"IL","Hop Slayer Double IPA (2011)",0.082,100,"American Double / Imperial IPA","Wild Onion Brewing Company","39.6983","-89.6197"
"IL","Galaxy IPA",0.075,60,"American IPA","Big Muddy Brewing","39.6983","-89.6197"
"IL","Bottom Up Belgian Wit",0.05,14,"Witbier","Revolution Brewing Company","39.6983","-89.6197"
"IL","Night Cat (2014)",0.058,43,"American Dark Wheat Ale","Two Brothers Brewing Company","39.6983","-89.6197"
"IL","Vertex IPA",0.063,76,"American IPA","Destihl Brewery","39.6983","-89.6197"
"IL","Abbey's Single Ale (Current)",0.049,22,"Abbey Single Ale","Destihl Brewery","39.6983","-89.6197"
"IL","Jack Stout",0.06,23,"Oatmeal Stout","Wild Onion Brewing Company","39.6983","-89.6197"
"IL","Here Gose Nothin'",0.05,12,"Gose","Destihl Brewery","39.6983","-89.6197"
"IL","Goose Island India Pale Ale",0.059,55,"American IPA","Goose Island Brewery Company","39.6983","-89.6197"
"IL","Weissenheimer",0.052,16,"Hefeweizen","Destihl Brewery","39.6983","-89.6197"
"IL","Cane and Ebel",0.07,68,"American Strong Ale","Two Brothers Brewing Company","39.6983","-89.6197"
"IL","Atom Smasher",0.077,23,"Märzen / Oktoberfest","Two Brothers Brewing Company","39.6983","-89.6197"
"IL","Sidekick Extra Pale Ale",0.051,36,"American Pale Ale (APA)","Two Brothers Brewing Company","39.6983","-89.6197"
"IL","Abbey's Single (2015- )",0.049,22,"Abbey Single Ale","Destihl Brewery","39.6983","-89.6197"
"IL","Mazzie",0.054,45,"American Pale Ale (APA)","Pollyanna Brewing Company","39.6983","-89.6197"
"IL","Hoperation Overload",0.096,85,"American Double / Imperial IPA","Destihl Brewery","39.6983","-89.6197"
"IL","Phat Chance",0.052,27,"American Blonde Ale","Wild Onion Brewing Company","39.6983","-89.6197"
"IL","Hop Slayer Double IPA (2011)",0.082,100,"American Double / Imperial IPA","Wild Onion Brewing Company","39.6983","-89.6197"
"IL","Anti-Hero IPA",0.065,70,"American IPA","Revolution Brewing Company","39.6983","-89.6197"
"IL","Eugene Porter",0.068,28,"American Porter","Revolution Brewing Company","39.6983","-89.6197"
"IL","Hop Slayer Double IPA",0.082,100,"American Double / Imperial IPA","Wild Onion Brewing Company","39.6983","-89.6197"
"IN","PV Muckle (2013)",0.083,23,"Scotch Ale / Wee Heavy","Sun King Brewing Company","39.791","-86.148"
"IN","Great Crescent Stout",0.08,66,"English Stout","Great Crescent Brewery","39.791","-86.148"
"IN","Frosted Fields Winter Wheat",0.06,25,"American Dark Wheat Ale","Great Crescent Brewery","39.791","-86.148"
"IN","Cowbell",0.054,23,"American Porter","Sun King Brewing Company","39.791","-86.148"
"IN","Mound Builder IPA",0.065,77,"American IPA","People's Brewing Company","39.791","-86.148"
"IN","Hop Up Offa That Brett (2014)",0.058,20,"Belgian Pale Ale","Sun King Brewing Company","39.791","-86.148"
"IN","Ale Cider",0.065,8,"Fruit / Vegetable Beer","Chapman's Brewing","39.791","-86.148"
"IN","Stupid Sexy Flanders",0.063,23,"Flanders Oud Bruin","Sun King Brewing Company","39.791","-86.148"
"IN","Amazon Princess IPA",0.062,62,"American IPA","People's Brewing Company","39.791","-86.148"
"IN","Bourbon Barrel Batch 666: Sympathy for the Devil",0.099,36,"Belgian Dark Ale","Sun King Brewing Company","39.791","-86.148"
"IN","Great Crescent Belgian Style Wit",0.051,13,"Witbier","Great Crescent Brewery","39.791","-86.148"
"IN","Citra Faced",0.055,64,"American Pale Wheat Ale","Three Pints Brewing","39.791","-86.148"
"IN","Tip Off",0.052,29,"Altbier","Sun King Brewing Company","39.791","-86.148"
"IN","Great Crescent Brown Ale",0.045,36,"American Brown Ale","Great Crescent Brewery","39.791","-86.148"
"IN","Great Crescent Oktoberfest Lager",0.057,25,"Märzen / Oktoberfest","Great Crescent Brewery","39.791","-86.148"
"IN","Bourbon's Barrel Stout",0.075,65,"American Stout","Great Crescent Brewery","39.791","-86.148"
"IN","Hinchtown Hammer Down",0.05,27,"American Blonde Ale","Flat 12 Bierwerks","39.791","-86.148"
"IN","Pale",0.054,37,"American Pale Ale (APA)","Three Pints Brewing","39.791","-86.148"
"IN","Thai.p.a",0.07,46,"American IPA","Bare Hands Brewery","39.791","-86.148"
"IN","Sun King Oktoberfest (2011)",0.055,23,"Märzen / Oktoberfest","Sun King Brewing Company","39.791","-86.148"
"IN","3 Gear Robust Porter",0.052,50,"American Porter","Tin Man Brewing Company","39.791","-86.148"
"IN","Saucy Intruder",0.072,75,"Rye Beer","Black Acre Brewing Co.","39.791","-86.148"
"IN","Copperhead Amber",0.052,18,"Belgian Dark Ale","450 North Brewing Company","39.791","-86.148"
"IN","Pole Barn Stout",0.055,31,"Oatmeal Stout","Three Pints Brewing","39.791","-86.148"
"IN","Aurora Lager (2011)",0.057,27,"Dortmunder / Export Lager","Great Crescent Brewery","39.791","-86.148"
"IN","Johan the Barleywine",0.099,60,"English Barleywine","Sun King Brewing Company","39.791","-86.148"
"IN","Isis",0.091,91,"American Double / Imperial IPA","Sun King Brewing Company","39.791","-86.148"
"IN","Great Crescent Coconut Porter (2012)",0.056,33,"American Porter","Great Crescent Brewery","39.791","-86.148"
"IN","Cafe Leche",0.058,20,"American Porter","Tin Man Brewing Company","39.791","-86.148"
"IN","Overlord Imperial IPA",0.085,115,"American Double / Imperial IPA","Tin Man Brewing Company","39.791","-86.148"
"IN","Deduction",0.08,22,"Dubbel","Taxman Brewing Company","39.791","-86.148"
"IN","Grapefruit Jungle (GFJ) (2011)",0.075,77,"American IPA","Sun King Brewing Company","39.791","-86.148"
"IN","Royal Brat",0.065,55,"Extra Special / Strong Bitter (ESB)","Sun King Brewing Company","39.791","-86.148"
