"BeerName","Beer_ID","ABV","IBU","Style","Ounces"
"Mother in Lager",1560,0.058,25,"Munich Dunkel Lager",12
"Weekend Warrior Pale Ale",1557,0.055,40,"American Pale Ale (APA)",12
"Karbachtoberfest",1458,0.055,25,"Märzen / Oktoberfest",12
"Love Street Summer Seasonal (2014)",1235,0.047,20,"Kölsch",12
"Barn Burner Saison",1068,0.066,20,"Saison / Farmhouse Ale",12
"Rodeo Clown Double IPA",666,0.095,85,"American Double / Imperial IPA",12
"Sympathy for the Lager",465,0.049,45,"American Amber / Red Lager",12
"Weisse Versa",464,0.052,15,"Hefeweizen",12
"Hopadillo India Pale Ale",463,0.066,70,"American IPA",12
"The Green Room",2372,0.06,75,"American IPA",16
"Humbucker Helles",2367,0.047,25,"Maibock / Helles Bock",16
"Oak Cliff Coffee Ale",2251,0.075,33,"American Brown Ale",12
"Dream Crusher Double IPA",2166,0.085,100,"American Double / Imperial IPA",12
"Farmhouse Wit",1202,0.048,25,"Saison / Farmhouse Ale",16
"Dallas Blonde",946,0.052,23,"American Blonde Ale",12
"Deep Ellum IPA",943,0.07,70,"American IPA",12
"18th Anniversary Gose",2370,0.044,5,"Gose",12
"White (2015)",2211,0.046,25,"Witbier",12
"BLAKKR",1861,0.099,85,"American Black Ale",12
"Firemans #4 Blonde Ale (2013)",1718,0.051,21,"American Blonde Ale",12
"Hans' Pils (2015)",1091,0.053,52,"German Pilsener",12
"Four Squared (2015)",1086,0.06,50,"American Blonde Ale",12
"Firemans #4 Blonde Ale (2015)",830,0.051,21,"American Blonde Ale",12
"American Lager",2233,0.041,8,"American Adjunct Lager",12
"American Amber",2232,0.041,8,"American Amber / Red Lager",12
"American Light",2231,0.032,13,"Light Lager",12
"Point Special (Current)",2366,0.047,9,"American Adjunct Lager",12
"Point Special",2365,0.047,9,"American Adjunct Lager",12
"Point Cascade Pale Ale (2013)",2270,0.054,33,"American Pale Ale (APA)",12
"Point Special",2228,0.047,9,"American Adjunct Lager",12
"Onyx Black Ale",2151,0.052,9,"American Black Ale",12
"Beyond The Pale IPA",2150,0.063,64,"American IPA",12
"Point Special (2013)",2122,0.047,9,"American Adjunct Lager",12
"Point Special (2012)",2121,0.047,9,"American Adjunct Lager",12
"Point Special Lager",2115,0.047,9,"American Adjunct Lager",16
"Point Oktoberfest",1357,0.057,15,"Märzen / Oktoberfest",16
"Point Nude Beach Summer Wheat",1225,0.052,7,"American Pale Wheat Ale",16
"Point Nude Beach Summer Wheat",816,0.05,7,"American Pale Wheat Ale",12
"Point Nude Beach Summer Wheat (2011)",772,0.05,7,"American Pale Wheat Ale",12
"Three Kings Ale",650,0.049,13,"Kölsch",12
"Point Oktoberfest",456,0.057,15,"Märzen / Oktoberfest",12
"2012 Black Ale",357,0.054,32,"American Brown Ale",12
"Point Nude Beach Summer Wheat (2010)",141,0.05,7,"American Pale Wheat Ale",12
"Point Cascade Pale Ale",140,0.054,33,"American Pale Ale (APA)",12
"Point Amber Classic",139,0.047,14,"American Amber / Red Lager",12
"Point Special Lager",138,0.047,9,"American Adjunct Lager",12
"O’Malley’s IPA",2343,0.075,89,"American IPA",12
"L'il Lucy's Hot Pepper Ale",2341,0.049,28,"Chile Beer",12
"2014 IPA Cicada Series",2362,0.075,72,"American IPA",16
"Sinister Minister Black IPA",2346,0.077,65,"American IPA",16
"Jack the Sipper",2320,0.053,45,"Extra Special / Strong Bitter (ESB)",12
"Devil's Harvest Extra Pale Ale",2297,0.058,60,"American Pale Ale (APA)",12
"Suzy B Dirty Blonde Ale",2296,0.05,20,"American Blonde Ale",12
"Mississippi Fire Ant",1745,0.08,80,"American Amber / Red Ale",16
"Hipster Breakfast",1120,0.058,40,"Oatmeal Stout",16
"Suzy B Dirty Blonde Ale",1118,0.05,20,"American Blonde Ale",16
"Devil's Harvest Extra Pale Ale",1117,0.058,60,"American Pale Ale (APA)",16
"Morning Wood Wheat (Current)",2360,0.059,14,"American Pale Wheat Ale",12
"Hideout Helles",1463,0.069,17,"Munich Helles Lager",12
"Dead Eye Dunkel",1462,0.06,15,"Munich Dunkel Lager",12
"Peacemaker Pilsner",1461,0.058,21,"Czech Pilsener",12
"Over the Rail Pale Ale",711,0.057,68,"American Pale Ale (APA)",12
"Pallavicini Pilsner (2009)",188,0.058,21,"Czech Pilsener",12
"Morning Wood Wheat (Current)",130,0.059,14,"American Pale Wheat Ale",12
"Extra Pale Ale",2352,0.053,49,"American Pale Ale (APA)",12
"Oklahoma Suks",2350,0.048,32,"American Amber / Red Ale",12
"Power & Light",2301,0.055,42,"American Pale Ale (APA)",12
"White Rabbit",1904,0.059,27,"Witbier",12
"Cubano Espresso",2349,0.055,25,"Bock",12
"Operation Homefront",2014,0.062,65,"American IPA",12
"Wandering Pelican",2013,0.082,65,"American Black Ale",12
"Hopped on the High Seas (Hop #529)",1726,0.07,60,"American IPA",12
"Hopped on the High Seas (Calypso)",1725,0.07,60,"American IPA",12
"Dry-Hopped On The High Seas Caribbean-Style IPA",1694,0.07,60,"American IPA",12
"Hopped on the High Seas (Citra)",1693,0.07,60,"American IPA",12
"Hopped on the High Seas (Ahtanum)",1692,0.07,60,"American IPA",12
"Humidor Series India Pale Ale",1142,0.075,70,"American IPA",12
"Jai Alai IPA Aged on White Oak",1141,0.075,70,"American IPA",12
"José Martí American Porter",1140,0.08,65,"American Porter",12
"Maduro Brown Ale",1138,0.055,25,"English Brown Ale",12
"Maduro Brown Ale",571,0.055,25,"American Brown Ale",12
"Tocobaga Red Ale",569,0.072,75,"American Amber / Red Ale",12
"Jai Alai IPA",546,0.075,70,"American IPA",12
"Florida Cracker Belgian Wit",545,0.05,18,"Witbier",12
"Hunny Do Wheat",2347,0.048,18,"American Pale Wheat Ale",12
"Gansett Light",2345,0.037,10,"Light Lager",16
"Bohemian Pils",2224,0.052,30,"American Pilsner",16
"Autocrat Coffee Milk Stout",1775,0.053,30,"Milk / Sweet Stout",16
"Narragansett Bohemian Pilsner",1291,0.086,35,"German Pilsener",16
"Narragansett Summer Ale",1093,0.042,24,"American Pale Wheat Ale",12
"Narragansett Cream Ale",580,0.05,22,"Cream Ale",16
"Narragansett Summer Ale",403,0.042,24,"American Pale Wheat Ale",16
"Narragansett Porter",316,0.07,22,"American Porter",16
"Narragansett Bock",315,0.065,32,"Bock",16
"Narragansett Fest Lager",314,0.055,15,"Märzen / Oktoberfest",16
"Little Red Cap",2339,0.063,43,"Altbier",12
"Perpetual Darkness",2335,0.092,72,"Belgian Strong Dark Ale",12
"Clan Warrior",2334,0.087,29,"Scotch Ale / Wee Heavy",12
"Psycho Penguin Vanilla Porter",2333,0.054,36,"American Porter",12
"Peacemaker Pale Ale",2329,0.057,47,"American Pale Ale (APA)",12
"Shotgun Betty",2327,0.058,11,"Hefeweizen",12
"Sweet Josie",2326,0.061,30,"American Brown Ale",12
"Watershed IPA",2331,0.067,70,"American IPA",12
"Oakshire Amber Ale",1669,0.054,24,"American Amber / Red Ale",12
"Overcast Espresso Stout",1668,0.058,27,"American Stout",12
"Watershed IPA (2013)",999,0.067,70,"American IPA",12
"Juke Joint IPA",1755,0.07,60,"American IPA",12
"Parade Ground Coffee Porter",1754,0.07,35,"American Porter",12
"Tin Roof Watermelon Wheat",1428,0.05,21,"Fruit / Vegetable Beer",12
"Tin Roof Blonde Ale",529,0.045,18,"American Blonde Ale",12
"Voodoo Bengal Pale Ale",495,0.055,37,"American Pale Ale (APA)",12
"Perfect Tin Amber",494,0.045,28,"American Amber / Red Ale",12
"Knotty Blonde Ale",2319,0.04,18,"American Blonde Ale",12
"Fivepine Chocolate Porter",2317,0.062,40,"American Porter",12
"Hoodoo Voodoo IPA",2316,0.062,82,"American IPA",12
"Hopportunity Knocks IPA",2315,0.068,100,"American IPA",12
"Caldera Pale Ale",1419,0.056,55,"American Pale Ale (APA)",12
"Lawnmower Lager",878,0.039,16,"American Adjunct Lager",12
"Ashland Amber Ale (2009)",794,0.054,24,"American Amber / Red Ale",12
"Caldera IPA (2009)",793,0.061,94,"American IPA",12
"Caldera IPA (2007)",792,0.061,94,"American IPA",12
"Caldera Pale Ale (2010)",791,0.056,55,"American Pale Ale (APA)",12
"Caldera Pale Ale (2009)",790,0.056,55,"American Pale Ale (APA)",12
"Caldera Pale Ale (2005)",789,0.056,55,"American Pale Ale (APA)",12
"Caldera Pale Ale (2007)",788,0.056,55,"American Pale Ale (APA)",12
"Caldera Pale Ale (2011)",38,0.056,55,"American Pale Ale (APA)",12
"Ashland Amber Ale",37,0.054,24,"American Amber / Red Ale",12
"Caldera IPA",36,0.061,94,"American IPA",12
"Wild Trail Pale Ale",2314,0.057,44,"American Pale Ale (APA)",12
"Mothman Black IPA",2313,0.067,71,"American Black Ale",12
"Camelback",2312,0.061,60,"American IPA",12
"Lumberyard Pilsner",1153,0.053,20,"American Pilsner",12
"PUNK'N",2310,0.05,10,"Pumpkin Ale",12
"Yard Sale Winter Lager",2100,0.04,22,"American Amber / Red Lager",12
"Trader Session IPA",1925,0.04,42,"American IPA",12
"Hop Nosh IPA",1723,0.073,83,"American IPA",12
"SUM'R",1212,0.04,17,"American Blonde Ale",12
"Organic Baba Black Lager",1097,0.04,32,"Schwarzbier",12
"Hop Notch IPA (2013)",1089,0.073,82,"American IPA",12
"Cutthroat Pale Ale",1088,0.04,34,"American Pale Ale (APA)",12
"WYLD Extra Pale Ale",974,0.04,29,"American Pale Ale (APA)",12
"Sunbru Kölsch",2309,0.052,17,"Kölsch",12
"Kilt Lifter Scottish-Style Ale",1635,0.06,21,"",12
"Four Peaks Peach Ale",1585,0.042,9,"Fruit / Vegetable Beer",12
"Hop Knot IPA",358,0.067,47,"American IPA",12
"Kilt Lifter Scottish-Style Ale (2009)",179,0.06,21,"Scottish Ale",12
"River House",2308,0.05,20,"Saison / Farmhouse Ale",16
"Pretzel Stout",2268,0.065,47,"American Stout",16
"Rubberneck Red",2197,0.05,35,"American Amber / Red Ale",16
"Homefront IPA",2305,0.06,70,"American IPA",12
"Sundown",2304,0.071,36,"Saison / Farmhouse Ale",12
"Original Slacker Ale",1842,0.056,40,"English Brown Ale",12
"Dog Days Summer Ale",1552,0.045,28,"Kölsch",12
"Beer Agent Re-Ignition",2303,0.053,22,"American Blonde Ale",16
"Cherry Ale",1990,0.057,18,"Fruit / Vegetable Beer",16
"Bourbon Barrel Aged Coconut Porter",1702,0.056,33,"American Porter",16
"Great Crescent IPA",1701,0.062,60,"American IPA",16
"Aurora Lager",1700,0.057,27,"Dortmunder / Export Lager",16
"Great Crescent Blonde Ale",1699,0.053,22,"American Blonde Ale",16
"Great Crescent Coconut Porter",1269,0.056,33,"American Porter",16
"Great Crescent Oktoberfest Lager",930,0.057,25,"Märzen / Oktoberfest",16
"Great Crescent Brown Ale",649,0.045,36,"American Brown Ale",16
"Cherry Ale (1)",639,0.057,18,"Fruit / Vegetable Beer",16
"Aurora Lager (2011)",626,0.057,27,"Dortmunder / Export Lager",16
"Frosted Fields Winter Wheat",615,0.06,25,"American Dark Wheat Ale",16
"Great Crescent Belgian Style Wit",478,0.051,13,"Witbier",16
"Bourbon's Barrel Stout",455,0.075,65,"American Stout",16
"Great Crescent Stout",442,0.08,66,"English Stout",16
"Great Crescent Coconut Porter (2012)",441,0.056,33,"American Porter",16
"Great Crescent Dark Lager",440,0.057,23,"Euro Dark Lager",16
"Great Crescent Mild Ale",439,0.042,26,"English Dark Mild Ale",16
"Great Crescent IPA (2011)",436,0.062,60,"American IPA",16
"Great Crescent Blonde Ale (2011)",389,0.053,22,"American Blonde Ale",16
"Pinner Throwback IPA",2302,0.049,35,"American IPA",12
"Dale's Pale Ale",1444,0.065,65,"American Pale Ale (APA)",12
"Dale's Pale Ale",1252,0.065,65,"American Pale Ale (APA)",12
"Mama's Little Yella Pils",1167,0.053,35,"Czech Pilsener",19.2
"Dale's Pale Ale",955,0.065,65,"American Pale Ale (APA)",19.2
"Dale's Pale Ale (10 Year Anniversary)",892,0.065,65,"American Pale Ale (APA)",12
"Dale's Pale Ale (2012)",828,0.065,65,"American Pale Ale (APA)",12
"Gordon Imperial Red (2010)",806,0.087,85,"American Double / Imperial IPA",12
"Dale's Pale Ale (2011)",755,0.065,65,"American Pale Ale (APA)",12
"Dale's Pale Ale (2010)",754,0.065,65,"American Pale Ale (APA)",12
"G'KNIGHT (16 oz.)",726,0.087,85,"American Double / Imperial IPA",16
"HGH (Home Grown Hops): Part Duh",585,0.08,70,"American Strong Ale",12
"One Hit Wonder",391,0.09,60,"American Double / Imperial IPA",12
"G'KNIGHT (12 oz.)",388,0.087,85,"American Double / Imperial IPA",12
"Ten Fidy Imperial Stout",8,0.099,98,"Russian Imperial Stout",12
"Mama's Little Yella Pils",7,0.053,35,"Czech Pilsener",12
"GUBNA Imperial IPA",6,0.099,100,"American Double / Imperial IPA",12
"Old Chub",5,0.08,35,"Scottish Ale",12
"Gordon Ale (2009)",4,0.087,85,"American Double / Imperial IPA",12
"Dale's Pale Ale",1,0.065,65,"American Pale Ale (APA)",12
"The Golden One",2295,0.063,21,"American Pilsner",12
"The Power of Zeus",2294,0.07,68,"American Pale Ale (APA)",12
"Aviator Raspberry Blonde",2293,0.049,25,"American Blonde Ale",12
"Little Sister India Style Session Ale",2292,0.043,60,"American IPA",12
"Country Boy IPA",1504,0.062,80,"American IPA",12
"Barney Flats Oatmeal Stout",1520,0.057,13,"Oatmeal Stout",12
"Summer Solstice",1350,0.056,4,"Cream Ale",12
"Hop Ottin' IPA",1327,0.07,80,"American IPA",12
"Boont Amber Ale",1326,0.058,15,"American Amber / Red Ale",12
"Barney Flats Oatmeal Stout",1221,0.057,13,"Oatmeal Stout",12
"El Steinber Dark Lager",1217,0.055,25,"Vienna Lager",16
"Boont Amber Ale (2010)",811,0.058,15,"American Amber / Red Ale",12
"Summer Solstice Cerveza Crema (2009)",753,0.056,4,"Cream Ale",12
"Barney Flats Oatmeal Stout (2012)",572,0.057,13,"Oatmeal Stout",12
"Winter Solstice",523,0.069,6,"Winter Warmer",12
"Hop Ottin' IPA (2011)",367,0.07,80,"American IPA",12
"Boont Amber Ale (2011)",78,0.058,15,"American Amber / Red Ale",12
"Summer Solstice (2011)",77,0.056,4,"Cream Ale",12
"Poleeko Gold Pale Ale (2009)",76,0.055,28,"American Pale Ale (APA)",12
"Second Fiddle",1929,0.082,80,"American Double / Imperial IPA",16
"Hodad Porter",1858,0.055,30,"American Porter",16
"Pride of Texas Pale Ale",2229,0.058,60,"American Pale Ale (APA)",12
"Bitter Bitch",1979,0.061,60,"American Pale Ale (APA)",12
"Santa's Secret",2255,0.059,22,"Winter Warmer",16
"Salamander Slam",2254,0.07,73,"American IPA",16
"Blonde Hunny",2253,0.068,21,"Belgian Pale Ale",12
"Wild Wolf Wee Heavy Scottish Style Ale",1318,0.057,20,"Scotch Ale / Wee Heavy",12
"Wild Wolf American Pilsner",1195,0.045,25,"American Pilsner",12
"Alpha Ale",1194,0.051,45,"American Pale Ale (APA)",12
"Horny Toad Cerveza",2214,0.053,25,"American Blonde Ale",16
"Native Amber",2213,0.063,35,"American Amber / Red Ale",16
"F5 IPA",1442,0.068,100,"American IPA",16
"Native Amber (2013)",170,0.063,35,"American Amber / Red Ale",16
"Horny Toad Cerveza (2013)",169,0.053,25,"American Blonde Ale",16
"Seventh Son of a Seventh Son",2250,0.077,40,"American Strong Ale",16
"Stone Fort Brown Ale",1768,0.053,20,"English Brown Ale",16
"Seventh Son Hopped Red Ale",1767,0.077,40,"American Amber / Red Ale",16
"Humulus Nimbus Super Pale Ale",1766,0.06,53,"American Pale Ale (APA)",16
"Golden Ratio IPA",1765,0.07,68,"American IPA",16
"Lake Monster",2247,0.082,25,"Baltic Porter",16
"London Homesick Ale",2071,0.049,27,"English Bitter",12
"Luchesa Lager",2070,0.048,35,"Keller Bier / Zwickel Bier",12
"Slow Ride",2069,0.048,35,"American Pale Ale (APA)",12
"Lobo Lito",2238,0.04,12,"Light Lager",12
"Robert Earl Keen Honey Pils",2144,0.05,17,"American Pilsner",12
"Towhead",2237,0.052,21,"American Blonde Ale",12
"Lil' Helper",2208,0.07,70,"American IPA",12
"Day Hike Session",2235,0.041,41,"American IPA",12
"Trailhead ISA",1661,0.048,48,"American IPA",12
"Immersion Amber",1660,0.052,27,"American Amber / Red Ale",12
"Evo IPA",1659,0.062,70,"American IPA",12
"Evolutionary IPA (2012)",1173,0.062,70,"American IPA",12
"Persnickety Pale",560,0.057,36,"American Pale Ale (APA)",12
"SoDo Brown Ale",519,0.054,20,"American Brown Ale",12
"Immersion Amber Ale (2011)",518,0.052,27,"American Amber / Red Ale",12
"Evolutionary IPA (2011)",505,0.062,70,"American IPA",12
"Trailhead India Style Session Ale (2011)",482,0.048,48,"American IPA",12
"Snow King Pale Ale",1606,0.06,55,"American Pale Ale (APA)",12
"Zonker Stout",617,0.054,36,"Foreign / Export Stout",12
"OB-1 Organic Ale",407,0.05,22,"English Brown Ale",12
"Snake River Lager",406,0.05,18,"Vienna Lager",12
"Snake River Pale Ale",402,0.052,32,"American Pale Ale (APA)",12
"Pako’s EyePA",393,0.068,60,"American IPA",12
"Dark Voyage Black IPA (2013)",2227,0.065,80,"American Black Ale",12
"Wisconsin Amber",2226,0.052,28,"Vienna Lager",12
"Lake House",2225,0.046,18,"Munich Helles Lager",12
"Ghost Ship White IPA",1954,0.056,55,"American IPA",12
"Lake House",1910,0.046,18,"Munich Helles Lager",16
"Mutiny IPA",1177,0.062,70,"American IPA",12
"Mountain Rescue Pale Ale",2205,0.055,40,"American Pale Ale (APA)",12
"Goose Island India Pale Ale",2198,0.059,55,"American IPA",12
"Couch Select Lager",2196,0.05,14,"American Pale Lager",12
"Double D Blonde",2195,0.049,20,"American Blonde Ale",12
"Festeroo Winter Ale",1605,0.078,60,"American Strong Ale",12
"Proxima IPA",1543,0.063,70,"American IPA",12
"Double D Blonde (2013)",1390,0.049,20,"American Blonde Ale",12
"541 American Lager",1354,0.048,13,"American Pale Lager",12
"Alphadelic IPA",1353,0.065,90,"American IPA",12
"Alphadelic IPA (2011)",499,0.065,90,"American IPA",12
"Double D Blonde (2011)",498,0.049,20,"American Blonde Ale",12
"Worthy IPA",2194,0.069,69,"American IPA",12
"Easy Day Kolsch",1514,0.045,25,"Kölsch",12
"Lights Out Vanilla Cream Extra Stout",1513,0.077,30,"American Double / Imperial IPA",12
"Worthy IPA (2013)",1512,0.069,69,"American IPA",12
"Worthy Pale",1511,0.06,50,"American Pale Ale (APA)",12
"Loki Red Ale",2191,0.075,53,"American Amber / Red Ale",16
"Loki Red Ale (2013)",895,0.075,53,"American Amber / Red Ale",16
"Campside Session IPA",2190,0.045,50,"American IPA",16
"Upland Wheat Ale",1951,0.045,15,"Witbier",16
"Tsunami IPA",2186,0.072,75,"American IPA",19.2
"Tsunami IPA",2185,0.072,75,"American IPA",12
"Humpback Blonde Ale",2184,0.042,22,"American Blonde Ale",12
"Hawaiian Crow Porter",2178,0.052,27,"American Porter",12
"Volcano Red Ale",2177,0.052,23,"American Amber / Red Ale",12
"Mauna Kea Pale Ale",2176,0.054,42,"American Pale Ale (APA)",12
"Mound Builder IPA",2175,0.065,77,"American IPA",12
"Amazon Princess IPA",2168,0.062,62,"American IPA",12
"Vortex IPA",318,0.074,97,"American IPA",16
"Evil Owl",2167,0.052,40,"American Amber / Red Ale",12
"Lewbricator Wheat Dopplebock",2162,0.075,24,"Doppelbock",12
"City of the Sun",2159,0.075,85,"American IPA",16
"Booming Rollers",2157,0.068,75,"American IPA",16
"Oneida",2156,0.052,50,"American Pale Ale (APA)",16
"Aurora",2154,0.067,75,"American Amber / Red Ale",16
"Lomaland",1495,0.055,30,"Saison / Farmhouse Ale",16
"Fortunate Islands",1494,0.047,46,"American Pale Wheat Ale",16
"Black House",1493,0.058,40,"American Stout",16
"Blazing World",1492,0.065,115,"American Amber / Red Ale",16
"#002 American I.P.A.",2148,0.071,60,"American IPA",12
"#004 Session I.P.A.",2146,0.048,38,"American IPA",12
"Red Water Irish Style Red",2145,0.065,0,"American Amber / Red Ale",12
"Mjöllnir",1804,0.066,0,"Herbed / Spiced Beer",12
"Bear Butte Nut Brown Ale",1602,0.055,0,"American Brown Ale",12
"Easy Livin' Summer Ale",1301,0.045,0,"American Blonde Ale",12
"Canyon Cream Ale",542,0.055,0,"Cream Ale",12
"Pile O'Dirt Porter",272,0.069,0,"American Porter",12
"11th Hour IPA",271,0.06,0,"American IPA",12
"Monarch Classic American Wheat",2129,0.043,21,"American Pale Wheat Ale",12
"Sir William's English Brown Ale",2127,0.049,21,"English Brown Ale",12
"Lakefire Rye Pale Ale",2126,0.055,35,"American Pale Ale (APA)",12
"1836",2125,0.06,40,"American Blonde Ale",12
"Summer's Wit",2124,0.06,20,"Witbier",12
"More Cowbell",2123,0.09,118,"American Double / Imperial IPA",16
"First Stand",2119,0.055,35,"Saison / Farmhouse Ale",12
"Battle LIne",2118,0.063,23,"American Brown Ale",12
"Broken Bridge",2117,0.056,12,"Dunkelweizen",12
"Brutus",2116,0.071,69,"English India Pale Ale (IPA)",12
"What the Butler Saw",2111,0.05,18,"Witbier",12
"1916 Shore Shiver",2110,0.069,65,"American IPA",12
"Laughing Dog Cream Ale",2108,0.05,12,"Cream Ale",12
"Two-One Niner",1397,0.048,9,"American Pilsner",12
"Laughing Dog IPA",1396,0.064,66,"American IPA",12
"Plum St. Porter",2107,0.06,52,"American Porter",12
"Plum St. Porter",1573,0.057,52,"American Porter",12
"Bozone HopZone IPA",1289,0.07,80,"American IPA",12
"Bozone Hefe Weizen",1288,0.06,25,"Hefeweizen",12
"Aprè Shred",2104,0.081,17,"American Strong Ale",16
"Hemlock Double IPA",1762,0.095,104,"American Double / Imperial IPA",12
"Disconnected Red",1067,0.067,85,"American Amber / Red Ale",16
"Arcus IPA",2096,0.069,81,"American IPA",12
"Wavemaker",2095,0.058,38,"American Amber / Red Ale",12
"Epitome",2094,0.099,100,"American Black Ale",16
"Monkey Chased the Weasel",1941,0.039,9,"Berliner Weissbier",16
"077XX",1940,0.078,80,"American Double / Imperial IPA",16
"Boat Beer",1439,0.042,35,"American IPA",12
"Pleasure Town",2093,0.063,61,"American IPA",12
"Pleasure Town IPA",1814,0.063,61,"American IPA",12
"Snowshoe White Ale",587,0.048,12,"Witbier",12
"Kodiak Brown Ale",586,0.05,24,"American Brown Ale",12
"Sockeye Red IPA",434,0.057,70,"American IPA",12
"Trail Head",2089,0.063,55,"American Pale Ale (APA)",12
"Hop Stalker Fresh Hop IPA",2088,0.07,80,"American IPA",16
"Blood Orange Wit",2087,0.05,16,"Witbier",16
"8 Barrel",2080,0.08,69,"American Strong Ale",16
"Oktoberfest",2079,0.055,40,"Märzen / Oktoberfest",16
"The Tradition",1809,0.05,15,"American Blonde Ale",12
"El Hefe Speaks",1263,0.053,11,"Hefeweizen",12
"On the Wings of Armageddon",851,0.092,115,"American Double / Imperial IPA",12
"The Corruption",186,0.065,80,"American IPA",12
"No Wake IPA",2077,0.072,50,"American IPA",12
"Boathouse Blonde",2076,0.049,15,"American Blonde Ale",12
"Cedar Point",2075,0.05,26,"American Amber / Red Ale",12
"Imperial Pumpkin Stout",2068,0.099,43,"Pumpkin Ale",16
"Dead-Eye DIPA",2067,0.09,130,"American Double / Imperial IPA",16
"Fisherman's IPA",2066,0.055,64,"American IPA",12
"Fisherman's Pils",2065,0.054,35,"German Pilsener",12
"Fisherman's Brew",2064,0.055,30,"American Amber / Red Ale",12
"Noche Dulce",2062,0.071,16,"American Porter",16
"Weize Guy",2060,0.05,15,"Hefeweizen",12
"Fox Tail Gluten Free Ale",469,0.05,50,"American Pale Ale (APA)",12
"Hop Box Imperial IPA",468,0.093,90,"American Double / Imperial IPA",12
"Joseph James American Lager",467,0.052,15,"American Adjunct Lager",12
"UFO Gingerland",2059,0.052,15,"Herbed / Spiced Beer",12
"The Long Thaw White IPA",1653,0.062,45,"American White IPA",12
"Harpoon Summer Beer",1380,0.05,28,"Kölsch",12
"Harpoon IPA",1379,0.059,42,"American IPA",12
"UFO Pumpkin",1340,0.059,20,"Pumpkin Ale",12
"Harpoon Octoberfest",1313,0.055,30,"Märzen / Oktoberfest",12
"Harpoon IPA (2012)",770,0.059,42,"American IPA",12
"Harpoon Summer Beer (2012)",769,0.05,28,"Kölsch",12
"UFO White",610,0.048,10,"American Pale Wheat Ale",12
"Harpoon Summer Beer (2010)",192,0.05,28,"Kölsch",12
"Harpoon IPA (2010)",126,0.059,42,"American IPA",12
"Black Me Stout",2056,0.06,45,"American Stout",12
"Killer Kolsch",2055,0.05,22,"Kölsch",12
"Missile IPA",1933,0.07,65,"American IPA",12
"Bravo Four Point",2051,0.044,45,"American Pale Ale (APA)",12
"Striped Bass Pale Ale",1201,0.052,26,"American Pale Ale (APA)",12
"Cream Ale",2050,0.042,35,"Cream Ale",12
"Ananda India Pale Ale",1470,0.062,61,"American IPA",12
"Tiny Bomb",1469,0.045,23,"American Pilsner",12
"Might As Well IPL",2045,0.072,75,"American Pale Lager",16
"Saison Pamplemousse",1960,0.058,35,"Saison / Farmhouse Ale",12
"2020 IPA",1777,0.074,74,"American IPA",16
"Wolf Among Weeds IPA",1698,0.08,70,"American IPA",16
"Better Weather IPA",1641,0.094,92,"American IPA",16
"Point the Way IPA",1490,0.059,60,"American IPA",16
"Golden Road Hefeweizen",1489,0.046,15,"Hefeweizen",16
"Heal the Bay IPA",1399,0.068,65,"American IPA",16
"Point the Way IPA",1296,0.059,60,"American IPA",12
"Get Up Offa That Brown",991,0.055,20,"American Brown Ale",16
"Burning Bush Smoked IPA",750,0.08,70,"American IPA",16
"Wolf Among Weeds IPA (2012)",749,0.08,70,"American IPA",16
"Point the Way IPA (2012)",549,0.059,60,"American IPA",16
"Golden Road Hefeweizen (2012)",548,0.046,15,"Hefeweizen",16
"Skylight",2043,0.056,20,"Dunkelweizen",12
"Kadigan",2042,0.056,30,"American Blonde Ale",12
"Dammit Jim!",2041,0.052,50,"American Amber / Red Ale",12
"Infamous IPA",2038,0.07,75,"American IPA",12
"Hijack",1774,0.055,20,"Cream Ale",12
"Getaway",2036,0.052,30,"German Pilsener",16
"Farm Girl Saison",1168,0.06,30,"Saison / Farmhouse Ale",16
"Pub Ale",2033,0.038,18,"English Dark Mild Ale",12
"Ballistic Blonde",2032,0.051,31,"Belgian Pale Ale",12
"Golden Fleece",2031,0.045,35,"Belgian Pale Ale",12
"Smoking Mirror",2030,0.055,30,"American Porter",12
"Tropicalia",2029,0.065,65,"American IPA",12
"Pursuit",2026,0.07,40,"American IPA",12
"Half Full Bright Ale",1361,0.052,18,"American Blonde Ale",12
"Ale Cider",2018,0.065,8,"Fruit / Vegetable Beer",16
"Pail Ale",2017,0.055,30,"American Pale Ale (APA)",16
"Barrio Blanco",2005,0.06,60,"American IPA",12
"Giant DIPA",2002,0.089,88,"American Double / Imperial IPA",16
"Batch 69 IPA",1556,0.069,69,"American IPA",12
"Twisted Helles Summer Lager",1208,0.055,18,"Munich Helles Lager",12
"Sobek & Set",1664,0.08,80,"American Black Ale",16
"Wet Hot American Wheat Ale",1662,0.05,22,"American Pale Wheat Ale",16
"Fascist Pig Ale",935,0.08,72,"American Amber / Red Ale",16
"LuckenBock",1972,0.07,18,"Bock",16
"Texas Pale Ale (TPA)",1971,0.055,40,"American IPA",16
"Kol' Beer",1969,0.05,22,"Kölsch",16
"Wagon Party",1966,0.054,55,"California Common / Steam Beer",12
"Sky-Five",1965,0.067,70,"American IPA",12
"Stargrazer",1964,0.05,28,"Schwarzbier",12
"Wonderstuff",1963,0.054,48,"German Pilsener",12
"Ozark American Pale Ale",1961,0.04,39,"American Pale Ale (APA)",12
"Overgrown American Pale Ale",1946,0.055,55,"American Pale Ale (APA)",12
